0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
,,,,,,,,,,,,,,,,TOP BƯU CỤC %GTC TỆ NHẤT,,,,,,,,,,,,,,,,TOP  20 BƯU CỤC %GTC TỐT NHẤT,,,,,,,,,,,,,,
AM,Chi tiết,Time,Volume,Hàng Mới Về Trong Ngày,Gán,Chưa Gán,GTC,Chuyển Trả,Tồn,%Gán,%Chưa Gán,%GTC,%Chuyển trả,,,Chi tiết,AM,Time,Volume,Hàng Mới Về Trong Ngày,Gán,Chưa Gán,GTC,Chuyển Trả,Tồn,%Gán,%Chưa Gán,%GTC,%Chuyển trả,%Tồn,,Chi tiết,AM,Time,Volume,Hàng Mới Về Trong Ngày,Gán,Chưa Gán,GTC,Chuyển Trả,Tồn,%Gán,%Chưa Gán,%GTC,%Chuyển trả,%Tồn
AM Chi,(LDO) Đam Rông 3,2026-07-09 - Thứ 5,816,630,779,37,531,21,264,"95,46%","4,54%","65,07%","2,57%",,,(LDO) Lâm Viên - Đà Lạt 2,AM Trường,2026-07-09 - Thứ 5,1669,574,577,1092,381,16,1272,"34,57%","65,43%","22,82%","0,96%","76,21%",,(BTH) Phú Quý,AM Khánh,2026-07-09 - Thứ 5,542,477,542,0,496,12,34,"100,00%","0,00%","91,51%","2,22%","6,27%"
,(LDO) Đinh Văn Lâm Hà,2026-07-09 - Thứ 5,1.223,805,994,229,833,25,365,"81,28%","18,72%","68,11%","2,05%",,,(LDO) Đức Trọng 1,AM Tiến,2026-07-09 - Thứ 5,1110,564,641,469,323,8,779,"57,75%","42,25%","29,10%","0,72%","70,18%",,(KHO) Khánh Sơn,AM Duy,2026-07-09 - Thứ 5,259,211,257,2,220,6,33,"99,23%","0,77%","84,94%","2,32%","12,74%"
,(LDO) Nam Ban Lâm Hà,2026-07-09 - Thứ 5,645,468,569,76,450,15,180,"88,22%","11,78%","69,77%","2,32%",,,(DNO) Quảng Tín,AM Phước,2026-07-09 - Thứ 5,1410,463,602,808,413,17,980,"42,70%","57,30%","29,29%","1,21%","69,50%",,(BTH) Phú Thủy,AM Khánh,2026-07-09 - Thứ 5,1740,1381,1677,63,1419,39,282,"96,38%","3,62%","81,55%","2,24%","16,21%"
,(LDO) Tân Hà Lâm Hà,2026-07-09 - Thứ 5,864,403,641,223,328,34,502,"74,19%","25,81%","37,96%","3,94%",,,(DNO) Nhân Cơ,AM Phước,2026-07-09 - Thứ 5,735,499,303,432,218,6,511,"41,22%","58,78%","29,66%","0,82%","69,52%",,(BTH) Tân Hải,AM Khánh,2026-07-09 - Thứ 5,653,577,646,7,532,10,111,"98,93%","1,07%","81,47%","1,53%","17,00%"
AM Công,(KHO) Bắc Cam Ranh,2026-07-09 - Thứ 5,811,660,741,70,584,11,216,"91,37%","8,63%","72,01%","1,35%",,,(DNO) Kiến Đức,AM Phước,2026-07-09 - Thứ 5,1392,626,709,683,458,26,908,"50,93%","49,07%","32,90%","1,86%","65,23%",,(LDO) Cát Tiên,AM Vũ,2026-07-09 - Thứ 5,477,374,470,7,381,15,81,"98,53%","1,47%","79,87%","3,14%","16,98%"
,(KHO) Bắc Nha Trang,2026-07-09 - Thứ 5,3.301,1.919,2.412,889,1.671,117,1.513,"73,07%","26,93%","50,62%","3,54%",,,(LDO) Di Linh,AM Tiến,2026-07-09 - Thứ 5,1978,940,1130,848,689,23,1266,"57,13%","42,87%","34,83%","1,16%","64,01%",,(KHO) Nam Nha Trang 5,AM Thư,2026-07-09 - Thứ 5,401,289,401,0,320,7,74,"100,00%","0,00%","79,80%","1,74%","18,46%"
,(KHO) Đông Ninh Hòa,2026-07-09 - Thứ 5,932,734,885,47,643,37,252,"94,96%","5,04%","68,99%","3,97%",,,(LDO) Lang Biang - Đà Lạt 1,AM Đại,2026-07-09 - Thứ 5,1852,784,1019,833,692,33,1127,"55,02%","44,98%","37,36%","1,78%","60,85%",,(NTH) Phan Rang,AM D.Long,2026-07-09 - Thứ 5,1663,1283,1617,46,1302,39,322,"97,24%","2,76%","78,29%","2,35%","19,36%"
,(KHO) Ninh Hòa 1,2026-07-09 - Thứ 5,517,391,510,7,403,22,92,"98,65%","1,35%","77,95%","4,26%",,,(LDO) Tân Hà Lâm Hà,AM Chi,2026-07-09 - Thứ 5,864,403,641,223,328,34,502,"74,19%","25,81%","37,96%","3,94%","58,10%",,(NTH) Ninh Sơn,AM D.Long,2026-07-09 - Thứ 5,964,775,955,9,754,19,191,"99,07%","0,93%","78,22%","1,97%","19,82%"
